市区町村名,大字・丁目名,小字・通称名,緯度,経度
下呂市,森,,35.80435,137.249515
海津市,平田町勝賀,,35.28097,136.668315
静岡市葵区,弥勒二丁目,,34.962903,138.369865
静岡市駿河区,西島,,34.940957,138.403967
静岡市清水区,梅ヶ谷,,35.037126,138.450689
浜松市天竜区,二俣町二俣,,34.863144,137.813896
沼津市,井出,,35.141593,138.791744
熱海市,桜木町,,35.082009,139.067456
三島市,中,,35.104062,138.933727
富士宮市,山本,,35.200386,138.633363
伊東市,八幡野,,34.870857,139.101598
島田市,岸,,34.850696,138.206943
富士市,久沢,,35.193682,138.651535
磐田市,小島,,34.681532,137.829489
焼津市,野秋,,34.898415,138.337361
掛川市,大坂,,34.667665,138.041362
藤枝市,郡,,34.875282,138.275854
御殿場市,川島田,,35.298485,138.917866
袋井市,浅岡,,34.704913,137.914287
下田市,吉佐美,,34.663093,138.934718
裾野市,深良,,35.198892,138.916076
湖西市,古見,,34.712623,137.530278
伊豆市,月ケ瀬,,34.912486,138.923639
御前崎市,池新田,,34.64569,138.115489
菊川市,東横地,,34.725947,138.101792
伊豆の国市,奈古谷,,35.07824,139.000836
牧之原市,菅ケ谷,,34.698419,138.187643
名古屋市千種区,松竹町二丁目,,35.164012,136.96172
名古屋市東区,黒門町,,35.178393,136.932322
名古屋市北区,山田町四丁目,,35.198248,136.937657
名古屋市西区,大野木四丁目,,35.220568,136.895758
名古屋市中村区,並木二丁目,,35.148857,136.850031
名古屋市中区,新栄町三丁目,,35.169505,136.913767
名古屋市昭和区,永金町一丁目,,35.14305,136.925884
名古屋市瑞穂区,市丘町一丁目,,35.118189,136.945195
名古屋市熱田区,古新町二丁目,,35.126848,136.885313
名古屋市中川区,応仁町一丁目,,35.13864,136.881584
名古屋市港区,善南町,,35.097917,136.853
名古屋市南区,笠寺町,下新町,35.09689,136.937491
名古屋市守山区,深沢一丁目,,35.237948,137.00451
名古屋市緑区,東神の倉三丁目,,35.105809,137.018738
名古屋市名東区,豊が丘,,35.187716,137.016215
名古屋市天白区,原四丁目,,35.121125,136.996064
豊橋市,野依町,郷道,34.702351,137.384424
岡崎市,明大寺本町,四丁目,34.952942,137.166633
一宮市,大和町戸塚,東郷,35.282615,136.791847
瀬戸市,效範町一丁目,,35.221505,137.069314
半田市,中町二丁目,,34.890675,136.928352
春日井市,上条町十丁目,,35.232022,136.979572
豊川市,東上町,柏沢,34.882888,137.445859
津島市,神守町,森本,35.177501,136.769902
碧南市,白沢町二丁目,,34.920765,137.03104
刈谷市,小垣江町,古浜田,34.963751,136.994002
豊田市,舞木町,中屋,35.14956,137.164123
安城市,東端町,八剱,34.91076,137.024473
西尾市,下矢田町,郷,34.847479,137.027498
蒲郡市,西浦町,龍田,34.78455,137.176258
犬山市,四季の丘三丁目,,35.393822,136.986504
常滑市,末広町三丁目,,34.895744,136.828057
江南市,前飛保町寺前,,35.348559,136.860308
小牧市,中央六丁目,,35.284646,136.935731
稲沢市,祖父江町野田,山中,35.23807,136.70391
新城市,庭野,下植田,34.885122,137.490798
東海市,名和町,吹付,35.049244,136.911275
大府市,吉川町二丁目,,35.000604,136.928082
知多市,長浦一丁目,,34.978259,136.850972
知立市,山屋敷町,向田,35.012656,137.053605
尾張旭市,平子町中通,,35.223022,137.022806
高浜市,湯山町六丁目,,34.931553,136.995981
岩倉市,北島町,前田,35.271,136.847936
豊明市,栄町,南舘,35.057017,136.97823
日進市,米野木町,丸山,35.136809,137.072812
田原市,白谷町,谷津,34.683872,137.238945
愛西市,柚木町,北田面,35.165886,136.725332
清須市,西枇杷島町地領一丁目,,35.205505,136.864056
北名古屋市,九之坪,菰口,35.23328,136.870748
弥富市,鯏浦町,用水上,35.121417,136.715003
みよし市,三好町,井ノ口,35.094549,137.063716
あま市,上萱津,八剱,35.193066,136.837011
長久手市,観音堂,,35.179963,137.074108
津市,栗真小川町,,34.767824,136.525167
四日市市,西坂部町,,35.001528,136.576615
伊勢市,二見町山田原,,34.503372,136.767584
松阪市,田原町,,34.567064,136.54329
桑名市,新西方二丁目,,35.074627,136.658039
鈴鹿市,西庄内町,,34.929036,136.451157
名張市,中知山,,34.593897,136.12334
尾鷲市,大字大曽根浦,,34.063082,136.224227
亀山市,木下町,,34.850989,136.412606
鳥羽市,小浜町,,34.499641,136.832232
熊野市,新鹿町,,33.931543,136.141761
いなべ市,大安町大井田,,35.089679,136.55093
志摩市,阿児町鵜方,,34.329498,136.824298
伊賀市,平野城北町,,34.774184,136.133573
大津市,伊香立上龍華町,,35.159592,135.878023
彦根市,大藪町,,35.266066,136.239483
長浜市,平方町,,35.37368,136.268903
近江八幡市,安土町常楽寺,,35.144552,136.129643
草津市,矢橋町,,35.008795,135.92578
守山市,守山六丁目,,35.063367,135.990179
栗東市,東坂,,34.990805,136.036798
甲賀市,信楽町長野,,34.880974,136.038952
野洲市,吉川,,35.12624,135.986487
湖南市,針,,34.999711,136.084994
高島市,今津町弘川,,35.407509,136.031754
東近江市,五個荘小幡町,,35.155195,136.194354
米原市,中多良,,35.321399,136.29084
京都市北区,紫野東泉堂町,,35.048502,135.742637
京都市上京区,若宮竪町,,35.038557,135.749226
京都市左京区,北白川別当町,,35.03121,135.790723
京都市中京区,西ノ京北壺井町,,35.014727,135.728678
京都市東山区,大黒町,,35.007723,135.773201
京都市下京区,小坂町,,34.993488,135.745547
京都市南区,四ツ塚町,,34.979093,135.746963
京都市右京区,嵯峨天龍寺広道町,,35.018074,135.682303
京都市伏見区,深草山村町,,34.948629,135.767224
京都市山科区,小野御所ノ内町,,34.963,135.817444
